Year,Armed forces service,Observation status,Unit multiplier,Unit measure,Value
2007,,Undefined,Units,"Rate per 1,000,000 population",3.3268590047799997
2008,,Undefined,Units,"Rate per 1,000,000 population",2.21597507756
2009,,Undefined,Units,"Rate per 1,000,000 population",3.29261730953
2010,,Undefined,Units,"Rate per 1,000,000 population",2.97962858213
2011,,Undefined,Units,"Rate per 1,000,000 population",2.08579902694
2012,,Undefined,Units,"Rate per 1,000,000 population",2.04065614944
2013,,Undefined,Units,"Rate per 1,000,000 population",1.34153437214
2014,,Undefined,Units,"Rate per 1,000,000 population",1.05268372427
2015,,Undefined,Units,"Rate per 1,000,000 population",0.921517432038
2016,,Undefined,Units,"Rate per 1,000,000 population",1.09675679875
2007,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.44031957416199996
2008,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.647000022645
2009,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.369415600581
2010,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.47801528055500003
2011,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.300228647818
2012,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.313947099914
2013,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.202790079509
2014,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.18576771604800002
2015,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.16894486254000002
2016,Naval Service,Undefined,Units,"Rate per 1,000,000 population",0.258956466371
2007,Army,Undefined,Units,"Rate per 1,000,000 population",2.3646791945700003
2008,Army,Undefined,Units,"Rate per 1,000,000 population",1.2778250447200001
2009,Army,Undefined,Units,"Rate per 1,000,000 population",2.53772456052
2010,Army,Undefined,Units,"Rate per 1,000,000 population",2.16700260518
2011,Army,Undefined,Units,"Rate per 1,000,000 population",1.54854776243
2012,Army,Undefined,Units,"Rate per 1,000,000 population",1.49124872459
2013,Army,Undefined,Units,"Rate per 1,000,000 population",0.982751923776
2014,Army,Undefined,Units,"Rate per 1,000,000 population",0.61922572016
2015,Army,Undefined,Units,"Rate per 1,000,000 population",0.5989863308250001
2016,Army,Undefined,Units,"Rate per 1,000,000 population",0.624542065955
2007,RAF,Undefined,Units,"Rate per 1,000,000 population",0.521860236044
2008,RAF,Undefined,Units,"Rate per 1,000,000 population",0.29115001019000003
2009,RAF,Undefined,Units,"Rate per 1,000,000 population",0.385477148433
2010,RAF,Undefined,Units,"Rate per 1,000,000 population",0.334610696389
2011,RAF,Undefined,Units,"Rate per 1,000,000 population",0.23702261669799998
2012,RAF,Undefined,Units,"Rate per 1,000,000 population",0.23546032493500002
2013,RAF,Undefined,Units,"Rate per 1,000,000 population",0.155992368853
2014,RAF,Undefined,Units,"Rate per 1,000,000 population",0.247690288064
2015,RAF,Undefined,Units,"Rate per 1,000,000 population",0.153586238673
2016,RAF,Undefined,Units,"Rate per 1,000,000 population",0.213258266424
