Year,Series,Flight category,Observation status,Unit multiplier,Units,Value
2008,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,101.085183
2009,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,103.971899
2010,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,98.6344509999998
2011,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,101.12349
2012,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,103.374305
2013,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,102.917201
2014,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,103.542951
2015,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,102.916217
2016,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,74.203998
2017,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,79.23724
2018,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,79.514464
2019,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,79.469251
2020,Freight (thousand tonnes),Domestic,Definition differs,Thousands,Tonnes,82.837623
2008,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2180.641749
2009,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,1943.541625
2010,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2225.836972
2011,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2196.192703
2012,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2198.733617
2013,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2159.339416
2014,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2200.806702
2015,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2196.296787
2016,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2310.90629
2017,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2542.712651
2018,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2551.406687
2019,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,2455.6255760000004
2020,Freight (thousand tonnes),International,Definition differs,Thousands,Tonnes,1919.117286
2008,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2281.726932
2009,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2047.513524
2010,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2324.471423
2011,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2297.316193
2012,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2302.107922
2013,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2262.256617
2014,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2304.349653
2015,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2299.213004
2016,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2409.832211
2017,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2640.336523
2018,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2630.921151
2019,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2535.0948270000004
2020,Freight (thousand tonnes),,Definition differs,Thousands,Tonnes,2001.9
2008,Passengers (thousands),Domestic,Definition differs,Thousands,Number,42812.3
2009,Passengers (thousands),Domestic,Definition differs,Thousands,Number,38953.225
2010,Passengers (thousands),Domestic,Definition differs,Thousands,Number,35351.36
2011,Passengers (thousands),Domestic,Definition differs,Thousands,Number,35131.587
2012,Passengers (thousands),Domestic,Definition differs,Thousands,Number,34935.281
2013,Passengers (thousands),Domestic,Definition differs,Thousands,Number,35761.357
2014,Passengers (thousands),Domestic,Definition differs,Thousands,Number,36542.852
2015,Passengers (thousands),Domestic,Definition differs,Thousands,Number,38306.652
2016,Passengers (thousands),Domestic,Definition differs,Thousands,Number,38904.345
2017,Passengers (thousands),Domestic,Definition differs,Thousands,Number,39637.182
2018,Passengers (thousands),Domestic,Definition differs,Thousands,Number,39950.723
2019,Passengers (thousands),Domestic,Definition differs,Thousands,Number,38381.401999999995
2020,Passengers (thousands),Domestic,Definition differs,Thousands,Number,10487.108999999999
2008,Passengers (thousands),International,Definition differs,Thousands,Number,192159.981
2009,Passengers (thousands),International,Definition differs,Thousands,Number,178785.53
2010,Passengers (thousands),International,Definition differs,Thousands,Number,174942.646
2011,Passengers (thousands),International,Definition differs,Thousands,Number,183867.216
2012,Passengers (thousands),International,Definition differs,Thousands,Number,185492.992
2013,Passengers (thousands),International,Definition differs,Thousands,Number,192484.873
2014,Passengers (thousands),International,Definition differs,Thousands,Number,201706.834
2015,Passengers (thousands),International,Definition differs,Thousands,Number,213023.037
2016,Passengers (thousands),International,Definition differs,Thousands,Number,229402.933
2017,Passengers (thousands),International,Definition differs,Thousands,Number,244731.672
2018,Passengers (thousands),International,Definition differs,Thousands,Number,252114.568
2019,Passengers (thousands),International,Definition differs,Thousands,Number,258277.002
2020,Passengers (thousands),International,Definition differs,Thousands,Number,63187.083000000006
2008,Passengers (thousands),,Definition differs,Thousands,Number,234972.281
2009,Passengers (thousands),,Definition differs,Thousands,Number,217738.755
2010,Passengers (thousands),,Definition differs,Thousands,Number,210294.006
2011,Passengers (thousands),,Definition differs,Thousands,Number,218998.803
2012,Passengers (thousands),,Definition differs,Thousands,Number,220428.273
2013,Passengers (thousands),,Definition differs,Thousands,Number,228246.23
2014,Passengers (thousands),,Definition differs,Thousands,Number,238249.686
2015,Passengers (thousands),,Definition differs,Thousands,Number,251329.689
2016,Passengers (thousands),,Definition differs,Thousands,Number,268330.985
2017,Passengers (thousands),,Definition differs,Thousands,Number,284397.095
2018,Passengers (thousands),,Definition differs,Thousands,Number,292065.291
2019,Passengers (thousands),,Definition differs,Thousands,Number,296658.404
2020,Passengers (thousands),,Definition differs,Thousands,Number,73674.19200000001
