Year,Units,Unit measure,Observation status,Unit multiplier,Value
1950,Marine protected area extent,Hectares,Undefined,Million,0.0
1951,Marine protected area extent,Hectares,Undefined,Million,0.01
1952,Marine protected area extent,Hectares,Undefined,Million,0.03
1953,Marine protected area extent,Hectares,Undefined,Million,0.03
1954,Marine protected area extent,Hectares,Undefined,Million,0.05
1955,Marine protected area extent,Hectares,Undefined,Million,0.06
1956,Marine protected area extent,Hectares,Undefined,Million,0.09
1957,Marine protected area extent,Hectares,Undefined,Million,0.09
1958,Marine protected area extent,Hectares,Undefined,Million,0.1
1959,Marine protected area extent,Hectares,Undefined,Million,0.1
1960,Marine protected area extent,Hectares,Undefined,Million,0.11
1961,Marine protected area extent,Hectares,Undefined,Million,0.11
1962,Marine protected area extent,Hectares,Undefined,Million,0.11
1963,Marine protected area extent,Hectares,Undefined,Million,0.11
1964,Marine protected area extent,Hectares,Undefined,Million,0.12
1965,Marine protected area extent,Hectares,Undefined,Million,0.13
1966,Marine protected area extent,Hectares,Undefined,Million,0.14
1967,Marine protected area extent,Hectares,Undefined,Million,0.14
1968,Marine protected area extent,Hectares,Undefined,Million,0.15
1969,Marine protected area extent,Hectares,Undefined,Million,0.15
1970,Marine protected area extent,Hectares,Undefined,Million,0.15
1971,Marine protected area extent,Hectares,Undefined,Million,0.16
1972,Marine protected area extent,Hectares,Undefined,Million,0.23
1973,Marine protected area extent,Hectares,Undefined,Million,0.23
1974,Marine protected area extent,Hectares,Undefined,Million,0.24
1975,Marine protected area extent,Hectares,Undefined,Million,0.25
1976,Marine protected area extent,Hectares,Undefined,Million,0.28
1977,Marine protected area extent,Hectares,Undefined,Million,0.28
1978,Marine protected area extent,Hectares,Undefined,Million,0.28
1979,Marine protected area extent,Hectares,Undefined,Million,0.28
1980,Marine protected area extent,Hectares,Undefined,Million,0.66
1981,Marine protected area extent,Hectares,Undefined,Million,0.66
1982,Marine protected area extent,Hectares,Undefined,Million,0.66
1983,Marine protected area extent,Hectares,Undefined,Million,0.66
1984,Marine protected area extent,Hectares,Undefined,Million,0.66
1985,Marine protected area extent,Hectares,Undefined,Million,0.67
1986,Marine protected area extent,Hectares,Undefined,Million,0.7
1987,Marine protected area extent,Hectares,Undefined,Million,0.7
1988,Marine protected area extent,Hectares,Undefined,Million,0.7
1989,Marine protected area extent,Hectares,Undefined,Million,0.71
1990,Marine protected area extent,Hectares,Undefined,Million,0.73
1991,Marine protected area extent,Hectares,Undefined,Million,0.73
1992,Marine protected area extent,Hectares,Undefined,Million,0.73
1993,Marine protected area extent,Hectares,Undefined,Million,0.73
1994,Marine protected area extent,Hectares,Undefined,Million,0.77
1995,Marine protected area extent,Hectares,Undefined,Million,0.77
