Year,Endangered species type,Observation status,Unit multiplier,Value
2013,,Undefined,Units,569
2013,Caviar and caviar extract,Undefined,Units,24
2013,Live coral and coral derivatives,Undefined,Units,18
2013,Ivory and items containing ivory,Undefined,Units,43
2013,Live animals and birds,Undefined,Units,14
2013,Live plants,Undefined,Units,6
2013,Parts or derivatives of animals or birds,Undefined,Units,128
2013,Parts or derivatives of plants,Undefined,Units,15
2013,Timber or wood products,Undefined,Units,142
2013,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,Units,187
2013,Butterflies,Undefined,Units,0
2014,,Undefined,Units,512
2014,Caviar and caviar extract,Undefined,Units,22
2014,Live coral and coral derivatives,Undefined,Units,14
2014,Ivory and items containing ivory,Undefined,Units,40
2014,Live animals and birds,Undefined,Units,23
2014,Live plants,Undefined,Units,6
2014,Parts or derivatives of animals or birds,Undefined,Units,140
2014,Parts or derivatives of plants,Undefined,Units,35
2014,Timber or wood products,Undefined,Units,33
2014,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,Units,210
2014,Butterflies,Undefined,Units,0
2015,,Undefined,Units,854
2015,Caviar and caviar extract,Undefined,Units,31
2015,Live coral and coral derivatives,Undefined,Units,22
2015,Ivory and items containing ivory,Undefined,Units,182
2015,Live animals and birds,Undefined,Units,13
2015,Live plants,Undefined,Units,45
2015,Parts or derivatives of animals or birds,Undefined,Units,179
2015,Parts or derivatives of plants,Undefined,Units,27
2015,Timber or wood products,Undefined,Units,26
2015,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,Units,332
2015,Butterflies,Undefined,Units,0
2016,,Undefined,Units,689
2016,Caviar and caviar extract,Undefined,Units,20
2016,Live coral and coral derivatives,Undefined,Units,16
2016,Ivory and items containing ivory,Undefined,Units,161
2016,Live animals and birds,Undefined,Units,12
2016,Live plants,Undefined,Units,36
2016,Parts or derivatives of animals or birds,Undefined,Units,220
2016,Parts or derivatives of plants,Undefined,Units,69
2016,Timber or wood products,Undefined,Units,18
2016,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,Units,141
2016,Butterflies,Undefined,Units,0
2017,,Undefined,Units,1076
2017,Caviar and caviar extract,Undefined,Units,28
2017,Live coral and coral derivatives,Undefined,Units,21
2017,Ivory and items containing ivory,Undefined,Units,176
2017,Live animals and birds,Undefined,Units,13
2017,Live plants,Undefined,Units,37
2017,Parts or derivatives of animals or birds,Undefined,Units,168
2017,Parts or derivatives of plants,Undefined,Units,171
2017,Timber or wood products,Undefined,Units,401
2017,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,Units,69
2017,Butterflies,Undefined,Units,1
2018,,Undefined,Units,804
2018,Caviar and caviar extract,Undefined,Units,41
2018,Live coral and coral derivatives,Undefined,Units,7
2018,Ivory and items containing ivory,Undefined,Units,108
2018,Live animals and birds,Undefined,Units,12
2018,Live plants,Undefined,Units,82
2018,Parts or derivatives of animals or birds,Undefined,Units,167
2018,Parts or derivatives of plants,Undefined,Units,189
2018,Timber or wood products,Undefined,Units,121
2018,Preparations of oriental medicine which include parts and derivatives of endangered species,Undefined,Units,82
2018,Butterflies,Undefined,Units,8
