Year,Units,Sex,Sex by disability,Working Pattern,Age,Occupation,Disability status,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
1997,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,10.19
1997,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.06
1997,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,8.14
1997,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,5.9
1997,1. Annual survey of hours and earnings (ASHE),Men,,,,,,England,,Undefined,Units,GBP (£),E92000001,10.09
1997,1. Annual survey of hours and earnings (ASHE),Women,,,,,,England,,Undefined,Units,GBP (£),E92000001,7.57
1997,1. Annual survey of hours and earnings (ASHE),,,,,,,England,,Undefined,Units,GBP (£),E92000001,9.05
1997,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,9.47
1997,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,6.08
1997,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.81
1997,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.7
1997,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,7.22
1997,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,5.72
1997,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.74
1997,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.87
1997,1. Annual survey of hours and earnings (ASHE),,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,7.94
1997,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.22
1997,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,5.89
1997,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.31
1997,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.24
1997,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,7.4
1997,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,5.53
1997,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.23
1997,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.93
1997,1. Annual survey of hours and earnings (ASHE),,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,8.24
1997,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,8.61
1997,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,5.62
1997,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,,,Undefined,Units,GBP (£),,10.02
1997,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,,,Undefined,Units,GBP (£),,6.97
1997,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,,,Undefined,Units,GBP (£),,8.01
1997,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,,,Undefined,Units,GBP (£),,5.85
1997,1. Annual survey of hours and earnings (ASHE),Men,,,,,,,,Undefined,Units,GBP (£),,9.92
1997,1. Annual survey of hours and earnings (ASHE),Women,,,,,,,,Undefined,Units,GBP (£),,7.46
1997,1. Annual survey of hours and earnings (ASHE),,,,,,,,,Undefined,Units,GBP (£),,8.9
1997,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,,,Undefined,Units,GBP (£),,9.31
1997,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,,,Undefined,Units,GBP (£),,6.02
1997,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.84
1997,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.64
1997,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,7.32
1997,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,5.55
1997,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.76
1997,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.84
1997,1. Annual survey of hours and earnings (ASHE),,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.0
1997,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.34
1997,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,5.73
1998,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,10.77
1998,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,7.22
1998,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,8.53
1998,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,6.22
1998,1. Annual survey of hours and earnings (ASHE),Men,,,,,,England,,Undefined,Units,GBP (£),E92000001,10.65
1998,1. Annual survey of hours and earnings (ASHE),Women,,,,,,England,,Undefined,Units,GBP (£),E92000001,7.93
1998,1. Annual survey of hours and earnings (ASHE),,,,,,,England,,Undefined,Units,GBP (£),E92000001,9.54
1998,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,England,,Undefined,Units,GBP (£),E92000001,10.0
1998,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,England,,Undefined,Units,GBP (£),E92000001,6.38
1998,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.13
1998,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.35
1998,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,7.54
1998,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,5.83
1998,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,9.1
1998,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,7.14
1998,1. Annual survey of hours and earnings (ASHE),,,,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.27
1998,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,8.54
1998,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Northern Ireland,,Undefined,Units,GBP (£),N92000002,6.27
1998,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.81
1998,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.59
1998,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,7.81
1998,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.11
1998,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.7
1998,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,7.36
1998,1. Annual survey of hours and earnings (ASHE),,,,,,,Scotland,,Undefined,Units,GBP (£),S92000003,8.67
1998,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,9.06
1998,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,Scotland,,Undefined,Units,GBP (£),S92000003,6.17
1998,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,,,Undefined,Units,GBP (£),,10.58
1998,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,,,Undefined,Units,GBP (£),,7.16
1998,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,,,Undefined,Units,GBP (£),,8.4
1998,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,,,Undefined,Units,GBP (£),,6.17
1998,1. Annual survey of hours and earnings (ASHE),Men,,,,,,,,Undefined,Units,GBP (£),,10.46
1998,1. Annual survey of hours and earnings (ASHE),Women,,,,,,,,Undefined,Units,GBP (£),,7.82
1998,1. Annual survey of hours and earnings (ASHE),,,,,,,,,Undefined,Units,GBP (£),,9.38
1998,1. Annual survey of hours and earnings (ASHE),,,Full Time,,,,,,Undefined,Units,GBP (£),,9.82
1998,1. Annual survey of hours and earnings (ASHE),,,Part Time,,,,,,Undefined,Units,GBP (£),,6.33
1998,1. Annual survey of hours and earnings (ASHE),Men,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.14
1998,1. Annual survey of hours and earnings (ASHE),Men,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,6.48
1998,1. Annual survey of hours and earnings (ASHE),Women,,Full Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,7.61
1998,1. Annual survey of hours and earnings (ASHE),Women,,Part Time,,,,Wales,,Undefined,Units,GBP (£),W92000004,5.55
1998,1. Annual survey of hours and earnings (ASHE),Men,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,9.04
1998,1. Annual survey of hours and earnings (ASHE),Women,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,7.04
1998,1. Annual survey of hours and earnings (ASHE),,,,,,,Wales,,Undefined,Units,GBP (£),W92000004,8.25
