Year,Skill,Age,Sex,Disability status,Observation status,Unit multiplier,Unit measure,Value
2015,Copying or moving a file or folder,,,,Undefined,Units,Percentage (%),57.0
2015,Using word processing software,,,,Undefined,Units,Percentage (%),55.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,,,Undefined,Units,Percentage (%),40.0
2015,"Using software to edit photos, video or audio files",,,,Undefined,Units,Percentage (%),43.0
2015,Using spreadsheet software,,,,Undefined,Units,Percentage (%),38.0
2015,Writing computer code using a programming language,,,,Undefined,Units,Percentage (%),6.0
2015,Installing software or applications,,,,Undefined,Units,Percentage (%),52.0
2015,Transferring files between computers or other devices,,,,Undefined,Units,Percentage (%),48.0
2015,"Changing the settings of any software, including operating system or security programs",,,,Undefined,Units,Percentage (%),38.0
2015,Copying or moving a file or folder,16 to 24,,,Undefined,Units,Percentage (%),76.0
2015,Using word processing software,16 to 24,,,Undefined,Units,Percentage (%),75.0
2015,"Using software to edit photos, video or audio files",16 to 24,,,Undefined,Units,Percentage (%),59.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",16 to 24,,,Undefined,Units,Percentage (%),60.0
2015,Using spreadsheet software,16 to 24,,,Undefined,Units,Percentage (%),48.0
2015,Writing computer code using a programming language,16 to 24,,,Undefined,Units,Percentage (%),11.0
2015,Copying or moving a file or folder,25 to 34,,,Undefined,Units,Percentage (%),70.0
2015,Using word processing software,25 to 34,,,Undefined,Units,Percentage (%),66.0
2015,"Using software to edit photos, video or audio files",25 to 34,,,Undefined,Units,Percentage (%),61.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",25 to 34,,,Undefined,Units,Percentage (%),53.0
2015,Using spreadsheet software,25 to 34,,,Undefined,Units,Percentage (%),50.0
2015,Writing computer code using a programming language,25 to 34,,,Undefined,Units,Percentage (%),10.0
2015,Copying or moving a file or folder,35 to 44,,,Undefined,Units,Percentage (%),69.0
2015,Using word processing software,35 to 44,,,Undefined,Units,Percentage (%),68.0
2015,"Using software to edit photos, video or audio files",35 to 44,,,Undefined,Units,Percentage (%),54.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",35 to 44,,,Undefined,Units,Percentage (%),51.0
2015,Using spreadsheet software,35 to 44,,,Undefined,Units,Percentage (%),54.0
2015,Writing computer code using a programming language,35 to 44,,,Undefined,Units,Percentage (%),8.0
2015,Copying or moving a file or folder,45 to 54,,,Undefined,Units,Percentage (%),58.0
2015,Using word processing software,45 to 54,,,Undefined,Units,Percentage (%),55.0
2015,"Using software to edit photos, video or audio files",45 to 54,,,Undefined,Units,Percentage (%),41.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",45 to 54,,,Undefined,Units,Percentage (%),42.0
2015,Using spreadsheet software,45 to 54,,,Undefined,Units,Percentage (%),40.0
2015,Writing computer code using a programming language,45 to 54,,,Undefined,Units,Percentage (%),5.0
2015,Copying or moving a file or folder,55 to 64,,,Undefined,Units,Percentage (%),50.0
2015,Using word processing software,55 to 64,,,Undefined,Units,Percentage (%),50.0
2015,"Using software to edit photos, video or audio files",55 to 64,,,Undefined,Units,Percentage (%),33.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",55 to 64,,,Undefined,Units,Percentage (%),30.0
2015,Using spreadsheet software,55 to 64,,,Undefined,Units,Percentage (%),35.0
2015,Writing computer code using a programming language,55 to 64,,,Undefined,Units,Percentage (%),3.0
2015,Copying or moving a file or folder,65 and over,,,Undefined,Units,Percentage (%),25.0
2015,Using word processing software,65 and over,,,Undefined,Units,Percentage (%),25.0
2015,"Using software to edit photos, video or audio files",65 and over,,,Undefined,Units,Percentage (%),16.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",65 and over,,,Undefined,Units,Percentage (%),11.0
2015,Using spreadsheet software,65 and over,,,Undefined,Units,Percentage (%),12.0
2015,Writing computer code using a programming language,65 and over,,,Undefined,Units,Percentage (%),1.0
2015,Copying or moving a file or folder,,Male,,Undefined,Units,Percentage (%),64.0
2015,Using word processing software,,Male,,Undefined,Units,Percentage (%),60.0
2015,"Using software to edit photos, video or audio files",,Male,,Undefined,Units,Percentage (%),49.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,Male,,Undefined,Units,Percentage (%),46.0
2015,Using spreadsheet software,,Male,,Undefined,Units,Percentage (%),45.0
2015,Writing computer code using a programming language,,Male,,Undefined,Units,Percentage (%),11.0
2015,Copying or moving a file or folder,,Female,,Undefined,Units,Percentage (%),54.0
2015,Using word processing software,,Female,,Undefined,Units,Percentage (%),53.0
2015,"Using software to edit photos, video or audio files",,Female,,Undefined,Units,Percentage (%),40.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,Female,,Undefined,Units,Percentage (%),38.0
2015,Using spreadsheet software,,Female,,Undefined,Units,Percentage (%),35.0
2015,Writing computer code using a programming language,,Female,,Undefined,Units,Percentage (%),3.0
2015,Copying or moving a file or folder,,,Disabled (GSS harmonised),Undefined,Units,Percentage (%),42.0
2015,Using word processing software,,,Disabled (GSS harmonised),Undefined,Units,Percentage (%),39.0
2015,"Using software to edit photos, video or audio files",,,Disabled (GSS harmonised),Undefined,Units,Percentage (%),31.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Disabled (GSS harmonised),Undefined,Units,Percentage (%),26.0
2015,Using spreadsheet software,,,Disabled (GSS harmonised),Undefined,Units,Percentage (%),25.0
2015,Writing computer code using a programming language,,,Disabled (GSS harmonised),Undefined,Units,Percentage (%),5.0
2015,Copying or moving a file or folder,,,Non-disabled (GSS harmonised),Undefined,Units,Percentage (%),62.0
2015,Using word processing software,,,Non-disabled (GSS harmonised),Undefined,Units,Percentage (%),61.0
2015,"Using software to edit photos, video or audio files",,,Non-disabled (GSS harmonised),Undefined,Units,Percentage (%),48.0
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Non-disabled (GSS harmonised),Undefined,Units,Percentage (%),46.0
2015,Using spreadsheet software,,,Non-disabled (GSS harmonised),Undefined,Units,Percentage (%),43.0
2015,Writing computer code using a programming language,,,Non-disabled (GSS harmonised),Undefined,Units,Percentage (%),7.0
2017,Copying or moving a file or folder,,,,Undefined,Units,Percentage (%),62.0
2017,Using word processing software,,,,Undefined,Units,Percentage (%),60.0
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,,,Undefined,Units,Percentage (%),47.0
2017,"Using software to edit photos, video or audio files",,,,Undefined,Units,Percentage (%),46.0
2017,Using spreadsheet software,,,,Undefined,Units,Percentage (%),45.0
2017,Writing computer code using a programming language,,,,Undefined,Units,Percentage (%),9.0
2017,Installing software or applications,,,,Undefined,Units,Percentage (%),59.0
2017,Transferring files between computers or other devices,,,,Undefined,Units,Percentage (%),53.0
2017,"Changing the settings of any software, including operating system or security programs",,,,Undefined,Units,Percentage (%),39.0
2017,Copying or moving a file or folder,16 to 24,,,Undefined,Units,Percentage (%),83.0
