Year,Units,Series,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2007,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1368.1683248607983
2008,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1372.271613615094
2009,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1375.6423592803974
2010,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1378.304
2011,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1383.406
2012,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1403.02642
2013,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1410.6633639950005
2014,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1424.254544886537
2015,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1431.6393400000002
2016,Area (000s hectares),Woodland area net change,Scotland,Hectares,Thousands,Normal value,S92000003,1435.0176547551662
2005,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.1713526216939855
2006,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.1564485609904689
2007,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.1635638504072085
2008,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.0529946648705253
2009,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.0517533040448469
2010,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.0598254992701052
2011,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.0978404406802997
2012,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.328739055098417
2013,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.6049480381689218
2014,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,-0.1874697503655098
2015,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.05309311478344
2016,Growth rate (%),Woodland area net change,Wales,Percentage (%),Units,Normal value,W92000004,0.1963003281393329
2004,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,301.2878791958369
2005,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,301.8041438756852
2006,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,302.2763121157883
2007,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,302.7707268907538
2008,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,302.9311792227956
2009,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,303.0879561170254
2010,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,303.26928
2011,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,303.5659999999999
2012,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,304.56394
2013,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,306.40639358
2014,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,305.8319742788516
2015,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,305.99434999999994
2016,Area (000s hectares),Woodland area net change,Wales,Hectares,Thousands,Normal value,W92000004,306.5950179131377
2014,Growth rate (%),Woodland area net change,,Percentage (%),Units,Normal value,,0.5486566810726426
2015,Growth rate (%),Woodland area net change,,Percentage (%),Units,Normal value,,0.353790551347486
2016,Growth rate (%),Woodland area net change,,Percentage (%),Units,Normal value,,0.1393703376094153
2004,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2005,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2006,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2007,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2008,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2009,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2010,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2011,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2012,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Missing value,,
2013,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3126.3099477740006
2014,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3143.4626561735013
2015,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3154.58393003618
2016,Area (000s hectares),Woodland area net change,,Hectares,Thousands,Normal value,,3158.9804843096435
1990,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,74.0
2000,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,89.0
2010,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,104.0
2015,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,109.0
2016,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,110.0
2017,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,112.0
2018,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,113.0
2019,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,114.0
2020,Tonnes per hectare,Above-ground biomass stock,,Tonnes per hectare,Units,Undefined,,115.0
2000,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2010,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2015,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2016,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2017,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2018,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2019,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2020,Percentage (%),Percentage of woodland within protected areas,,Percentage (%),Units,Undefined,,9.19
2000,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,33.76
2010,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,52.87
2015,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,57.34
2016,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,57.27
2017,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,59.3
2018,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,59.94
2019,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,60.51
2020,Percentage (%),Percentage of woodland under long-term management plan,,Percentage (%),Units,Undefined,,61.05
2004,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,23.45300891528711
2005,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,26.92108543527504
2006,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,27.621486115234266
2007,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,28.359836279481488
2008,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,26.860293497040672
2009,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,27.373431288818857
2010,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,27.69073142443363
2011,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,25.93798519790929
2012,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,27.354396175488965
2013,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,27.32495473872069
2014,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,26.82523939661312
2015,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,27.25397826089928
2016,Percentage (%),Woodland area under certification scheme,England,Percentage (%),Units,Normal value,E92000001,25.832586468008365
2004,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,298.26
2005,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,343.7
2006,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,353.58
2007,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,363.86
2008,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,345.27
2009,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,352.5
2010,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,357.17
2011,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,335.22
2012,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,354.97
2013,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,354.74
2014,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,349.24
2015,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,355.67
2016,Area (000s hectares),Woodland area under certification scheme,England,Hectares,Thousands,Normal value,E92000001,337.19
2004,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2005,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2006,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2007,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2008,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2009,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2010,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2011,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2012,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2013,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Normal value,N92000002,58.26450241406644
2014,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Normal value,N92000002,58.17087284569767
2015,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Normal value,N92000002,58.189470298091365
2016,Percentage (%),Woodland area under certification scheme,Northern Ireland,Percentage (%),Units,Normal value,N92000002,58.2238261350558
2004,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,65.12
2005,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,63.45
2006,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,63.43
2007,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,64.16
2008,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,64.44
2009,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,65.06
2010,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,64.15
2011,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,63.46
2012,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,64.55
2013,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,64.68
2014,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,64.84
2015,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,65.12
2016,Area (000s hectares),Woodland area under certification scheme,Northern Ireland,Hectares,Thousands,Normal value,N92000002,65.26
2004,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,49.54
2005,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,52.93
2006,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,53.2
2007,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,55.86
2008,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,56.11
2009,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,56.76
2010,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,57.5
2011,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,57.23
2012,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,57.57
2013,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,56.97
2014,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,57.7
2015,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,56.81
2016,Percentage (%),Woodland area under certification scheme,Scotland,Percentage (%),Units,Normal value,S92000003,56.19
2004,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,669.91
2005,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,718.7
2006,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,724.37
2007,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,764.31
2008,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,770.01
2009,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,780.75
2010,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,792.47
2011,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,791.78
2012,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,807.74
2013,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,803.7
2014,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,821.77
2015,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,813.33
2016,Area (000s hectares),Woodland area under certification scheme,Scotland,Hectares,Thousands,Normal value,S92000003,806.34
2004,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,42.04
2005,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,43.49
2006,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,43.38
2007,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,43.79
2008,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,42.9
2009,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,44.13
2010,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,44.01
2011,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,44.01
2012,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,45.41
2013,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,45.51
2014,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,46.14
2015,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,46.2
2016,Percentage (%),Woodland area under certification scheme,Wales,Percentage (%),Units,Normal value,W92000004,46.06
2004,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,126.65
2005,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,131.24
2006,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,131.13
2007,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,132.59
2008,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,129.96
2009,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,133.74
2010,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,133.47
2011,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,133.6
2012,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,138.29
2013,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,139.44
2014,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,141.12
2015,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,141.36
2016,Area (000s hectares),Woodland area under certification scheme,Wales,Hectares,Thousands,Normal value,W92000004,141.22
2004,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Missing value,,
2005,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Missing value,,
2006,Percentage (%),Woodland area under certification scheme,,Percentage (%),Units,Missing value,,
