Year,Series,Activity,Units,Unit multiplier,Observation status,Value
2016,"Number of companies publishing sustainability reports, by activity",,Number,Units,Estimated Value,239.0
2016,"Number of companies publishing sustainability reports, by activity",Accommodation and food service activities,Number,Units,Estimated Value,9.0
2016,"Number of companies publishing sustainability reports, by activity",Administrative and support service activities,Number,Units,Estimated Value,6.0
2016,"Number of companies publishing sustainability reports, by activity","Agriculture, forestry and fishing",Number,Units,Missing value,
2016,"Number of companies publishing sustainability reports, by activity","Arts, entertainment and recreation",Number,Units,Estimated Value,2.0
2016,"Number of companies publishing sustainability reports, by activity",Construction,Number,Units,Estimated Value,13.0
2016,"Number of companies publishing sustainability reports, by activity",Financial and insurance activities,Number,Units,Estimated Value,32.0
2016,"Number of companies publishing sustainability reports, by activity",Human health and social work activities,Number,Units,Estimated Value,2.0
2016,"Number of companies publishing sustainability reports, by activity",Information and communication,Number,Units,Estimated Value,11.0
2016,"Number of companies publishing sustainability reports, by activity",Manufacturing,Number,Units,Estimated Value,65.0
2016,"Number of companies publishing sustainability reports, by activity",Mining and quarrying,Number,Units,Estimated Value,15.0
2016,"Number of companies publishing sustainability reports, by activity","Professional, scientific and technical activities",Number,Units,Estimated Value,12.0
2016,"Number of companies publishing sustainability reports, by activity",Real estate activities,Number,Units,Estimated Value,21.0
2016,"Number of companies publishing sustainability reports, by activity",Transportation and storage,Number,Units,Estimated Value,10.0
2016,"Number of companies publishing sustainability reports, by activity",Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Units,Estimated Value,239.0
2017,"Number of companies publishing sustainability reports, by activity",,Number,Units,Estimated Value,250.0
2017,"Number of companies publishing sustainability reports, by activity",Accommodation and food service activities,Number,Units,Estimated Value,9.0
2017,"Number of companies publishing sustainability reports, by activity",Administrative and support service activities,Number,Units,Estimated Value,7.0
2017,"Number of companies publishing sustainability reports, by activity","Arts, entertainment and recreation",Number,Units,Estimated Value,2.0
2017,"Number of companies publishing sustainability reports, by activity",Construction,Number,Units,Estimated Value,13.0
2017,"Number of companies publishing sustainability reports, by activity",Financial and insurance activities,Number,Units,Estimated Value,34.0
2017,"Number of companies publishing sustainability reports, by activity",Human health and social work activities,Number,Units,Estimated Value,2.0
2017,"Number of companies publishing sustainability reports, by activity",Information and communication,Number,Units,Estimated Value,12.0
2017,"Number of companies publishing sustainability reports, by activity",Manufacturing,Number,Units,Estimated Value,67.0
2017,"Number of companies publishing sustainability reports, by activity",Mining and quarrying,Number,Units,Estimated Value,17.0
2017,"Number of companies publishing sustainability reports, by activity","Professional, scientific and technical activities",Number,Units,Estimated Value,13.0
2017,"Number of companies publishing sustainability reports, by activity",Real estate activities,Number,Units,Estimated Value,22.0
2017,"Number of companies publishing sustainability reports, by activity",Transportation and storage,Number,Units,Estimated Value,10.0
2017,"Number of companies publishing sustainability reports, by activity",Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Units,Estimated Value,250.0
2018,"Number of companies publishing sustainability reports, by activity",,Number,Units,Estimated Value,275.0
2018,"Number of companies publishing sustainability reports, by activity",Accommodation and food service activities,Number,Units,Estimated Value,9.0
2018,"Number of companies publishing sustainability reports, by activity",Administrative and support service activities,Number,Units,Estimated Value,7.0
2018,"Number of companies publishing sustainability reports, by activity","Arts, entertainment and recreation",Number,Units,Estimated Value,2.0
2018,"Number of companies publishing sustainability reports, by activity",Construction,Number,Units,Estimated Value,14.0
2018,"Number of companies publishing sustainability reports, by activity",Financial and insurance activities,Number,Units,Estimated Value,35.0
2018,"Number of companies publishing sustainability reports, by activity",Human health and social work activities,Number,Units,Estimated Value,2.0
2018,"Number of companies publishing sustainability reports, by activity",Information and communication,Number,Units,Estimated Value,14.0
2018,"Number of companies publishing sustainability reports, by activity",Manufacturing,Number,Units,Estimated Value,73.0
2018,"Number of companies publishing sustainability reports, by activity",Mining and quarrying,Number,Units,Estimated Value,19.0
2018,"Number of companies publishing sustainability reports, by activity","Professional, scientific and technical activities",Number,Units,Estimated Value,16.0
2018,"Number of companies publishing sustainability reports, by activity",Real estate activities,Number,Units,Estimated Value,25.0
2018,"Number of companies publishing sustainability reports, by activity",Transportation and storage,Number,Units,Estimated Value,11.0
2018,"Number of companies publishing sustainability reports, by activity",Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Units,Estimated Value,275.0
2019,"Number of companies publishing sustainability reports, by activity",,Number,Units,Estimated Value,305.0
2019,"Number of companies publishing sustainability reports, by activity",Accommodation and food service activities,Number,Units,Estimated Value,9.0
2019,"Number of companies publishing sustainability reports, by activity",Administrative and support service activities,Number,Units,Estimated Value,9.0
2019,"Number of companies publishing sustainability reports, by activity","Arts, entertainment and recreation",Number,Units,Estimated Value,2.0
2019,"Number of companies publishing sustainability reports, by activity",Construction,Number,Units,Estimated Value,15.0
2019,"Number of companies publishing sustainability reports, by activity",Financial and insurance activities,Number,Units,Estimated Value,39.0
2019,"Number of companies publishing sustainability reports, by activity",Human health and social work activities,Number,Units,Estimated Value,2.0
2019,"Number of companies publishing sustainability reports, by activity",Information and communication,Number,Units,Estimated Value,15.0
2019,"Number of companies publishing sustainability reports, by activity",Manufacturing,Number,Units,Estimated Value,82.0
2019,"Number of companies publishing sustainability reports, by activity",Mining and quarrying,Number,Units,Estimated Value,23.0
2019,"Number of companies publishing sustainability reports, by activity","Professional, scientific and technical activities",Number,Units,Estimated Value,18.0
2019,"Number of companies publishing sustainability reports, by activity",Real estate activities,Number,Units,Estimated Value,29.0
2019,"Number of companies publishing sustainability reports, by activity",Transportation and storage,Number,Units,Estimated Value,12.0
2019,"Number of companies publishing sustainability reports, by activity",Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Units,Estimated Value,305.0
2020,"Number of companies publishing sustainability reports, by activity",,Number,Units,Estimated Value,433.0
2020,"Number of companies publishing sustainability reports, by activity",Accommodation and food service activities,Number,Units,Estimated Value,12.0
2020,"Number of companies publishing sustainability reports, by activity",Administrative and support service activities,Number,Units,Estimated Value,15.0
2020,"Number of companies publishing sustainability reports, by activity","Agriculture, forestry and fishing",Number,Units,Estimated Value,3.0
2020,"Number of companies publishing sustainability reports, by activity","Arts, entertainment and recreation",Number,Units,Estimated Value,7.0
2020,"Number of companies publishing sustainability reports, by activity",Construction,Number,Units,Estimated Value,19.0
2020,"Number of companies publishing sustainability reports, by activity",Financial and insurance activities,Number,Units,Estimated Value,58.0
2020,"Number of companies publishing sustainability reports, by activity",Human health and social work activities,Number,Units,Estimated Value,3.0
2020,"Number of companies publishing sustainability reports, by activity",Information and communication,Number,Units,Estimated Value,32.0
2020,"Number of companies publishing sustainability reports, by activity",Manufacturing,Number,Units,Estimated Value,114.0
2020,"Number of companies publishing sustainability reports, by activity",Mining and quarrying,Number,Units,Estimated Value,24.0
2020,"Number of companies publishing sustainability reports, by activity",Other service activities,Number,Units,Estimated Value,1.0
2020,"Number of companies publishing sustainability reports, by activity","Professional, scientific and technical activities",Number,Units,Estimated Value,34.0
2020,"Number of companies publishing sustainability reports, by activity",Real estate activities,Number,Units,Estimated Value,37.0
2020,"Number of companies publishing sustainability reports, by activity",Transportation and storage,Number,Units,Estimated Value,15.0
