Value,Disaggregation combinations using this value,Number of indicators
English Local Authority Councillors,1,1
Northern Ireland Assembly,1,1
Northern Ireland Local Authority Councillors,1,1
Scottish Parliament/Pàrlamaid na h-Alba,1,1
Senedd Cymru/Welsh Parliament,1,1
Welsh Local Authority Councillors,1,1
