Value,Disaggregation combinations using this value,Number of indicators
At school/university/place of study,1,1
At the offender's home,1,1
At work,1,1
In a car park,1,1
In a park/other open public place,1,1
In a pub/club/disco,1,1
In own home,1,1
On public transport,1,1
On the street,1,1
Somewhere else,1,1
