Indicator
#2-2-3
#3-1-1
#3-3-2
#3-3-3
#3-3-4
#3-3-5
#3-4-1
#3-4-2
#3-5-2
#3-6-1
#3-8-1
#3-8-2
#3-9-1
#3-9-2
#3-9-3
#3-b-3
#3-c-1
#3-d-1
#3-d-2
