Text,Value
Observation status,OBS_STATUS
Unit multiplier,UNIT_MULT
Sex,SEX
Urban or Rural,URBANISATION
Age,AGE
Frequency,FREQ
Activity,ACTIVITY
Institution,COMP_BREAKDOWN
Level of government,COMP_BREAKDOWN
Area,AREA
Occupation,OCCUPATION
Age (Default),AGE
Urbanisation (Default),URBANISATION
Activity (Default),ACTIVITY
