Indicator
#10-3-1
#11-1-1
#11-7-2
#16-1-3
#16-1-4
#16-6-2
#16-7-2
#16-b-1
#17-8-1
#4-3-1
#4-4-1
#5-2-1
#5-2-2
#5-5-2
#8-5-1
#8-5-2
#9-2-2
#9-5-2
