Value,Disaggregation combinations using this value,Number of indicators
Holiday and other collective accommodation,1,1
Holiday centres and villages,1,1
Letting and operating of conference and exhibition centres,1,1
Management of real estate on a fee or contract basis,1,1
Other holiday and other collective accommodation,1,1
Other letting and operating of own or leased real estate,1,1
Real estate agencies,1,1
Renting and operating of Housing Association real estate,1,1
