Value,Disaggregation combinations using this value,Number of indicators
Aberdeen City,3,1
Aberdeenshire,3,1
Angus,3,1
Argyll and Bute,3,1
City of Edinburgh,3,1
Clackmannanshire,3,1
Dumfries and Galloway,3,1
Dundee City,3,1
East Ayrshire,3,1
East Dunbartonshire,3,1
East Lothian,3,1
East Renfrewshire,3,1
Falkirk,3,1
Fife,3,1
Glasgow City,3,1
Highland,3,1
Inverclyde,3,1
Midlothian,3,1
Moray,3,1
Na h-Eileanan Siar,3,1
North Ayrshire,3,1
North Lanarkshire,3,1
Orkney Islands,3,1
Perth and Kinross,3,1
Renfrewshire,3,1
Scottish Borders,3,1
South Ayrshire,3,1
South Lanarkshire,3,1
Stirling,3,1
West Dunbartonshire,3,1
West Lothian,3,1
