Year,Series,Renewable and waste source,Observation status,Unit multiplier,Units,Value
1990,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),0.730273309331
1991,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),0.7064785029919407
1992,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),0.8058732990520167
1993,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),0.8047785346288164
1994,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.0956101916017666
1995,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.145153885467287
1996,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.0604292663686563
1997,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.0845004901227802
1998,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.2208760484622554
1999,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.2790924457157717
2000,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.2756161379149078
2001,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.293476842017824
2002,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.4593028002285902
2003,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.5329965203156313
2004,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.7681114066656238
2005,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),2.0127831352321146
2006,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),2.2089285054422576
2007,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),2.333909245694253
2008,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),2.7468931164040056
2009,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),3.286066137853598
2010,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),3.494395324375828
2011,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),4.134185781317182
2012,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),4.40761277064492
2013,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),5.256781472628531
2014,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),6.583736215981315
2015,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),7.882181611348379
2016,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),8.281379010288687
2017,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),9.456945451227487
2018,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),10.616529968454259
2019,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),11.88103896103896
2020,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),14.442955872024744
1990,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.19864143447493038
1990,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.00044339605909582674
1990,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.00044339605909582674
1990,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.03547168472766614
1990,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0611886561552241
1990,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.08114147881453629
1990,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.003103772413670787
1990,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.304613092598833
1990,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.017292446304737242
1990,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.02882074384122874
1990,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1720798312061153
1991,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0004323613849399883
1991,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004323613849399883
1991,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.045397945418698765
1991,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.06528656912593822
1991,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.07998685621389781
1991,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0030265296945799175
1991,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.2970322714537719
1991,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.015565009857839577
1991,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.028103490021099232
1991,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.2042012103403645
1992,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0013117850771329626
1992,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004372616923776542
1992,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.06777556231853639
1992,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.06602651554902578
1992,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.09182495539930738
1992,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0069961870780424675
1992,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0030608318466435794
1992,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.32182460558995346
1992,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.014429635848462588
1992,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.028422010004547523
1992,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
