Value,Disaggregation combinations using this value,Number of indicators
1000 to 1499,3,1
1500 to 1999,4,1
2000 to 2499,3,1
2500 to 2999,3,1
3000 to 3499,3,1
3500 to 3999,4,1
4000 and over,5,1
Implausible birthweight,3,1
Not stated,7,1
Under 1000,3,1
Under 1500,3,1
Under 2500,3,1
