Value,Disaggregation combinations using this value,Number of indicators
Bangledeshi,2,1
Black African,2,1
Black Caribbean,2,1
Black Other,2,1
Chinese,2,1
East Midlands,1389,42
East of England,1104,15
East,523,27
England,14,2
Indian,2,1
Inner London,1235,3
London,3518,41
Mixed/Other,2,1
North East,1550,42
North West,2683,42
Northern Ireland,19,4
Outer London,1647,3
Pakistani,2,1
Scotland,22,4
South East,2483,42
South West,2129,42
Wales,27,9
West Midlands,1841,42
White,2,1
Yorkshire and the Humber,52,9
Yorkshire and The Humber,1852,33
