Value,Disaggregation combinations using this value,Number of indicators
Communication and Language,2376,1
Expressive arts and design,1782,1
Literacy,1782,1
Mathematics,1782,1
"Personal, Social and Emotional Development",2376,1
Physical Development,1782,1
Understanding the world,2376,1
