Indicator
#11-7-2
#16-1-3
#16-1-4
#16-6-2
#3-1-1
#3-3-2
#3-3-3
#3-a-1
#4-3-1
#5-2-1
#5-3-2
#8-5-2
#9-2-2
#9-5-2
