Value,Disaggregation combinations using this value,Number of indicators
Eighth,10,1
Fifth,10,1
Fourth,10,1
Highest ten,10,1
Lowest ten,12,1
Ninth,10,1
Second,12,1
Seventh,10,1
Sixth,10,1
Third,10,1
