Value,Disaggregation combinations using this value,Number of indicators
African Development Bank,4,2
Asian Development Bank,4,2
Financial Stability Board,4,2
Inter-American Development Bank,4,2
International Bank for Reconstruction and Development,4,2
International Finance Corporation,4,2
International Monetary Fund,4,2
UN Economic and Social Council,4,2
UN General Assembly,4,2
UN Security Council,4,2
World Trade Organisation,4,2
