Year,Value
2000,100.0000033
2001,99.99999835
2002,100.0000016
2003,100.0
2004,100.0000033
2005,100.0
2006,99.99999679
2007,99.99465655
2008,99.97900544
2009,99.96335275
2010,99.94769852
2011,99.93204432
2012,99.91639618
2013,99.90074048
2014,99.8850878
2015,99.86943807
2016,99.85378537
2017,99.83813267
2018,99.82247997
2019,99.82247563
2020,99.82247708
