Value,Disaggregation combinations using this value,Number of indicators
Biodiesel,1,1
Bioethanol,1,1
Biogas from autogen,1,1
Biomass,1,1
Charcoal,1,1
Cross-boundary Adjustment,1,1
Geothermal aquifers,1,1
Hydroelectric power,1,1
Landfill gas,1,1
Liquid bio-fuels,1,1
Municipal solid waste (MSW),1,1
Poultry litter,1,1
Sewage gas,1,1
Solar photovoltaic,1,1
Straw,1,1
"Wind, wave, tidal",1,1
Wood,1,1
