Value,Disaggregation combinations using this value,Number of indicators
"Less than £10,000",3,1
"Less than £10,400",1,1
No income stated or not enough information provided,4,2
"£10,000 to less than £20,000",3,1
"£10,400 to less than £20,800",1,1
"£20,000 to less than £30,000",3,1
"£20,800 to less than £31,200",1,1
"£30,000 to less than £40,000",3,1
"£31,200 to less than £41,600",1,1
"£40,000 to less than £50,000",3,1
"£41,600 to less than £52,000",1,1
"£50,000 or more",3,1
"£52,000 or more",1,1
