Value,Disaggregation combinations using this value,Number of indicators
Buckinghamshire,1,1
Cambridgeshire,1,1
Cumbria,1,1
Derbyshire,1,1
Devon,1,1
Dorset (Cty),1,1
East Midlands region,1,1
East of England region,1,1
East Sussex,1,1
Essex,1,1
Gloucestershire,1,1
Hampshire,1,1
Hertfordshire,1,1
Kent,1,1
Lancashire,1,1
Leicestershire,1,1
Lincolnshire,1,1
London region,1,1
Norfolk,1,1
North East region,1,1
North West region,1,1
North Yorkshire,1,1
Northamptonshire,1,1
Nottinghamshire,1,1
Oxfordshire,1,1
Somerset,1,1
South East region,1,1
South West region,1,1
Staffordshire,1,1
Suffolk,1,1
Surrey,1,1
Warwickshire,1,1
West Midlands region,1,1
West Sussex,1,1
Worcestershire,1,1
Yorkshire and the Humber region,1,1
