Indicator,Disaggregation combinations using this value
#11-3-1,144
#11-6-1,60
#16-1-1,7
#16-1-4,1
#3-a-1,21
#8-10-1,46
#8-3-1,3
#8-5-1,9
#8-5-2,3
#8-8-1,2
#9-2-2,1
#9-5-2,1
