Value,Disaggregation combinations using this value,Number of indicators
Butterflies,2,2
Caviar and caviar extract,2,2
Ivory and items containing ivory,2,2
Live animals and birds,2,2
Live coral and coral derivatives,2,2
Live plants,2,2
Parts or derivatives of animals or birds,2,2
Parts or derivatives of plants,2,2
Preparations of oriental medicine which include parts and derivatives of endangered species,2,2
Timber or wood products,2,2
