Value,Disaggregation combinations using this value,Number of indicators
0 to 4,3,1
1 to 4,3,1
10 to 14,20,4
10 to 19,4,1
11 to 18,6,1
12 to 13,15,1
13 to 14,10,1
15 and under,17,3
15 to 17,3,1
15 to 19,34,4
15 to 24,18,2
1.5 to 3,2,1
16 to 17,31,5
16 to 19 *,5,1
16 to 19,8,4
16 to 24,103,17
16 to 24 #,3,1
16 to 64,6,1
17 and under,3,1
18 to 19,13,2
18 to 20,3,1
18 to 21,90,1
18 to 24,64,6
19 and under,9,3
19 to 24,2,1
19 to 64,6,1
20 and under,28,1
20 to 24,63,12
20 to 24 *,5,1
21 to 24,3,1
21 to 40,30,1
22 to 29,90,1
24 to 29,1,1
25 to 29,45,7
25 to 34,197,26
25 to 49,9,3
29 and under,5,1
2,10,1
3 to 4,10,1
30 to 34,188,8
30 to 39,93,2
30 to 49,5,1
35 to 39,214,8
35 to 44,167,21
35 to 49,28,4
35 to 54,2,1
3,10,1
4 and under,6,1
4 to 10,6,1
4,10,1
40 and over,2,2
40 to 44,232,6
40 to 49,93,2
41 to 60,30,1
45 and over,20,3
45 to 49,262,5
45 to 54,154,19
5 to 14,3,1
5 to 15,3,1
5 to 9,6,1
50 to 54,291,5
50 to 59,93,2
50 to 64,42,8
55 and over #,3,1
55 to 59,371,10
55 to 59 *,5,1
55 to 64,80,15
60 and over,90,1
60 to 64,374,6
60 to 64 *,5,1
60 to 69,3,1
61 and over,26,1
65 and over,83,12
65 and over *,5,1
65 to 69,328,5
65 to 74,96,13
70 and over,9,2
70 to 74,28,3
75 and over,33,11
75 to 79,33,3
75 to 84,63,2
80 to 84,38,3
85 and over,63,2
85 to 89,29,2
85+,1,1
90 and over,22,2
By 1st birthday,61,1
By 2nd birthday,75,1
By 5th birthday,71,1
By age 17,1,1
By age 18,1,1
Over 65,15,1
Under 1,3,1
Under 15,15,1
Under 16,2,1
