Value,Disaggregation combinations using this value,Number of indicators
Broadcasting and publishing services,3,1
Cultural services,3,1
Environmental protection not elsewhere classified,3,1
Pollution abatement,3,1
Protection of biodiversity and landscape,3,1
"Recreation, culture and religion not elsewhere classified",3,1
Recreational and sporting services,3,1
Religious and other community services,3,1
Research and development environmental protection,3,1
"Research and development recreation, culture and religion",3,1
Waste management,3,1
Waste water management,3,1
