Value,Disaggregation combinations using this value,Number of indicators
"Changing the settings of any software, including operating system or security programs",11,1
Copying or moving a file or folder,11,1
"Creating presentations or documents containing or integrating pictures, tables or charts",11,1
Installing software or applications,11,1
Make backup copies of files on external storage devices or internet storage space,11,1
Transferring files between computers or other devices,11,1
"Using software to edit photos, video or audio files",11,1
Using spreadsheet software,11,1
Using word processing software,11,1
Writing computer code using a programming language,11,1
