Year,Units,Value
2004,Percentage (%),0.5
2005,Percentage (%),0.5
2006,Percentage (%),0.2
2007,Percentage (%),0.2
2008,Percentage (%),0.2
2009,Percentage (%),0.2
2010,Percentage (%),0.2
2011,Percentage (%),0.2
2012,Percentage (%),0.2
2013,Percentage (%),0
2014,Percentage (%),0.2
2015,Percentage (%),0.2
