Value,Disaggregation combinations using this value,Number of indicators
Barnsley MBC,5,1
Barnsley Metropolitan Borough Council,5,1
Bath and North East Somerset Council,5,1
Bedford,10,1
Bexley LB,5,1
Birmingham City Council,5,1
Blackburn with Darwen Borough Council,5,1
Blackpool Borough Council,5,1
Bournemouth Borough Council,5,1
"Bournemouth, Christchurch and Poole Council",5,1
Bracknell Forest Borough Council,5,1
Bradford City MDC (MBC),10,1
Brighton and Hove Council,5,1
Bristol City Council,5,1
Bromley LB,5,1
Buckinghamshire County Council,5,1
Calderdale MBC,10,1
Cambridgeshire County Council,10,1
Central Bedfordshire,10,1
Cheshire East,5,1
Cheshire West and Chester,5,1
City of London,5,1
Cornwall,5,1
Council of the Isles of Scilly,5,1
County Durham,5,1
Coventry City Council,5,1
Croydon LB,5,1
Cumbria County Council,5,1
Darlington Borough Council,5,1
Derby City Council,5,1
Derbyshire County Council,5,1
Devon County Council,5,1
Doncaster MBC,10,1
Dorset Council,5,1
Dorset Waste Partnership,5,1
Dudley MBC,5,1
East London Waste Authority,5,1
East Riding of Yorkshire Council,10,1
East Sussex County Council,5,1
Essex County Council,10,1
Gateshead MBC,5,1
Gloucestershire County Council,5,1
Greater Manchester WDA (MBC),5,1
Greenwich LB,5,1
Halton Borough Council,5,1
Hampshire County Council,5,1
Hartlepool Borough Council,5,1
Herefordshire Council,5,1
Hertfordshire County Council,10,1
Isle of Wight Council,5,1
Kent County Council,5,1
Kingston-upon-Hull City Council,10,1
Kirklees MBC,10,1
Lancashire County Council,5,1
Leeds City Council MBC,10,1
Leicester City Council,5,1
Leicestershire County Council,5,1
Lewisham LB,5,1
Lincolnshire County Council,5,1
Luton Borough Council,10,1
Medway Borough Council,5,1
Merseyside WDA (MBC),5,1
Merton LB,5,1
Middlesbrough Borough Council,5,1
Milton Keynes Council,5,1
Newcastle-upon-Tyne City Council MBC,5,1
Norfolk County Council,10,1
North East Lincolnshire Council,10,1
North Lincolnshire Council,10,1
North London Waste Authority,5,1
North Somerset Council,5,1
North Tyneside Council,5,1
North Yorkshire County Council,10,1
Northamptonshire County Council,5,1
Northumberland,5,1
Nottingham City Council,5,1
Nottinghamshire County Council,5,1
Oxfordshire County Council,5,1
Peterborough City Council,10,1
Plymouth City Council,5,1
Poole Borough Council,5,1
Portsmouth City Council,5,1
Reading Borough Council,5,1
Redcar and Cleveland Borough Council,5,1
Rotherham MBC,10,1
Royal Borough of Kingston upon Thames,5,1
Rutland County Council,5,1
Sandwell MBC,5,1
Sheffield City Council,10,1
Shropshire,5,1
Slough Borough Council,5,1
Solihull MBC,5,1
Somerset County Council,5,1
Somerset Waste Partnership,5,1
South Gloucestershire Council,5,1
South Tyneside MBC,5,1
Southampton City Council,5,1
Southend-on-Sea Borough Council,10,1
Southwark LB,5,1
Staffordshire County Council,5,1
Stockton-on-Tees Borough Council,5,1
Stoke-on-Trent City Council,5,1
Suffolk County Council,10,1
Sunderland City Council,5,1
Surrey County Council,5,1
Sutton LB,5,1
Swindon Borough Council,5,1
Telford and Wrekin Council,5,1
Thurrock Council,10,1
Torbay Council,5,1
Tower Hamlets LB,5,1
Wakefield City MDC,10,1
Walsall MBC,5,1
Warrington Borough Council,5,1
Warwickshire County Council,5,1
West Berkshire District Council,5,1
West London Waste Authority,5,1
West Sussex County Council,5,1
Western Riverside Waste Authority,5,1
Westminster City Council,5,1
Wigan MBC,5,1
Wiltshire,5,1
Windsor and Maidenhead Borough Council,5,1
Wokingham Council,5,1
Wolverhampton MBC,5,1
Worcestershire County Council,5,1
York City Council,10,1
