Indicator,Disaggregation combinations using this value
#11-1-1,2
#11-3-1,204
#11-6-1,105
#11-7-2,3
#12-a-1,12
#15-1-2,11
#16-1-3,4
#16-1-4,1
#16-6-2,1
#16-7-2,1
#17-8-1,26
#2-1-2,3
#3-1-2,1
#3-2-2,1
#3-3-2,1
#3-3-3,2
#3-3-4,15
#3-4-1,998
#3-4-2,3
#3-6-1,1
#3-7-1,219
#3-9-1,2
#3-9-2,15
#3-9-3,392
#3-a-1,21
#3-b-1,14
#4-1-1,80
#4-2-1,200
#4-2-2,4
#4-3-1,2
#4-c-1,23
#5-2-1,2
#5-2-2,1
#5-3-2,1
#5-5-2,1
#5-6-1,219
#5-a-1,10
#5-b-1,4
#7-b-1,12
#8-10-1,68
#8-3-1,3
#8-5-1,9
#8-5-2,3
#8-8-1,3
#9-2-2,1
#9-5-1,5
#9-5-2,1
