Value,Disaggregation combinations using this value,Number of indicators
Accommodation services for visitors,2,1
Air passenger transport services,2,1
Cultural activities,2,1
Exhibitions & Conferences etc.,2,1
Food and beverage serving activities,2,1
Other consumption products,2,1
Railway passenger transport services,2,1
Road passenger transport services,2,1
Sport and recreation activities,2,1
Transport equipment rental services,2,1
Travel agencies and other reservation services,2,1
Water passenger transport services,2,1
