Value,Disaggregation combinations using this value,Number of indicators
Activities of head offices; management consultancy activities,1,1
Advertising and market research,1,1
Architectural and engineering activities; technical testing and analysis,1,1
"Buying and selling, renting and operating of own or leased real estate, excluding imputed rental",1,1
"Computer programming, consultancy and related activities",1,1
"Creative, arts and entertainment activities",1,1
"Electric power generation, transmission and distribution",1,1
Employment activities,1,1
Furniture,1,1
Gambling and betting activities,1,1
Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,1,1
Imputed rental,1,1
Information service activities,1,1
"Insurance and reinsurance, except compulsory social security",1,1
"Insurance, reinsurance and pension funding, except compulsory social security",1,1
"Land transport services and transport services via pipelines, excluding rail transport",1,1
Leather and related products,1,1
Legal and accounting activities,3,1
"Libraries, archives, museums and other cultural activities",1,1
Manufacture of basic metals,7,2
Manufacture of basic pharmaceutical products and pharmaceutical preparations,2,1
Manufacture of beverages,11,2
Manufacture of chemicals and chemical products,20,2
Manufacture of coke and refined petroleum products,2,1
"Manufacture of computer, electronic and optical products",2,1
Manufacture of electrical equipment,2,1
"Manufacture of fabricated metal products, except machinery and equipment",9,2
Manufacture of food products,27,2
Manufacture of furniture,2,1
Manufacture of leather and related products,2,1
Manufacture of machinery and equipmentnot elsewhere classified,2,1
"Manufacture of motor vehicles, trailers and semi-trailers",2,1
Manufacture of other non-metallic mineral products,9,2
Manufacture of other transport equipment,12,2
Manufacture of paper and paper products,2,1
Manufacture of rubber and plastic products,2,1
Manufacture of textiles,2,1
Manufacture of wearing apparel,2,1
"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",2,1
"Motion picture, video and tv programme production, sound recording and music publishing activities",1,1
"Motor vehicles, trailers and semi-trailers",1,1
"Office administrative, office support and other business support activities",1,1
Other manufacturing,3,2
"Other professional, scientific and technical activities",1,1
Paper and paper products,1,1
Printing and reproduction of recorded media,3,2
Programming and broadcasting activities,1,1
Publishing activities,1,1
Rail transport,1,1
Real estate activities on a fee or contract basis,1,1
Remediation activities and other waste management services,1,1
Rental and leasing activities,1,1
Repair and installation of machinery and equipment,12,2
Residential care activities,1,1
Rubber and plastic products,1,1
Security and investigation activities,1,1
Services to buildings and landscape activities,1,1
Sewerage,1,1
Social work activities without accommodation,1,1
Sports activities and amusement and recreation activities,1,1
Textiles,1,1
Tobacco products,1,1
"Travel agency, tour operator and other reservation service and related activities",1,1
Veterinary activities,1,1
"Waste collection, treatment and disposal activities; materials recovery",1,1
Wearing apparel,1,1
"Wood and products of wood and cork, except furniture; articles of straw and plaiting materials",1,1
