Value,Disaggregation combinations using this value,Number of indicators
Administrative and secretarial occupations,55,2
Associate professional and technical occupations,55,2
"Caring, leisure and other service occupations",55,2
Elementary occupations,55,2
Higher professional,1,1
Intermediate occupations,1,1
Large employers and higher managerial,1,1
Long term unemployed,2,1
Lower managerial and professional,1,1
Lower supervisory,1,1
"Managers, directors and senior officials",55,2
Occupation not stated,1,1
"Process, plant and machine operatives",55,2
Professional occupations,55,2
Routine,1,1
Sales and customer service occupations,55,2
Semiroutine,1,1
Skilled trades occupations,55,2
Small employers,1,1
Students,1,1
