Indicator
#1-5-2
#10-7-1
#10-7-2
#11-2-1
#11-3-2
#11-5-2
#11-a-1
#12-c-1
#14-3-1
#14-7-1
#14-a-1
#15-3-1
#16-10-1
#16-3-3
#16-4-1
#16-4-2
#16-6-1
#16-7-1
#17-15-1
#17-17-1
#17-7-1
#2-4-1
#2-b-1
#3-8-1
#3-b-3
#3-d-2
#6-3-1
#6-4-1
#9-3-2
