Value,Disaggregation combinations using this value,Number of indicators
A level or equivalent,2,1
Apprenticeship or A/AS level,12,3
Degree or diploma,12,3
Degree or equivalent,2,1
Entry level,3,1
GCSE or equivalent,2,1
Higher Education,2,1
Level 1,3,1
Level 2,3,1
Level 3,3,1
Level 4 or higher,3,1
No qualification,5,3
No qualifications,9,1
No reported qualifications,3,1
O level/GCSE,12,3
Other qualification,17,5
