Value,Disaggregation combinations using this value,Number of indicators
Alternative fuels,4,1
Bioenergy,5,1
Carbon capture and storage,5,1
Energy efficient lighting,5,1
"Energy monitoring, saving or control systems",5,1
Fuels cells and energy storage,5,1
Hydropower,5,1
Low carbon financial and advisory services,5,1
Low emission vehicles and infrastructure,4,1
Nuclear,5,1
Offshore wind,5,1
Onshore wind,5,1
Other energy efficient products,5,1
Other renewable electricity,3,1
Renewable combined heat and power,5,1
Renewable heat,5,1
Solar photovoltaic,5,1
