Value,Disaggregation combinations using this value,Number of indicators
Aberdeen,2,1
Armagh,1,1
Barnstaple,2,1
Belfast,2,1
Biandrate,2,1
Birkenhead,1,1
Birmingham,2,1
Blackpool,1,1
Bournemouth,1,1
Brighton,1,1
Bristol,2,1
Bury,1,1
Cardiff,2,1
Carlisle,2,1
Chepstow,2,1
Chesterfield,2,1
Christchurch,1,1
Coventry,2,1
Didcot,2,1
Eastbourne,2,1
Eccles,2,1
Edinburgh,2,1
Enniskillen,2,1
Erith,1,1
Gillingham,2,1
Glasgow,2,1
Grangemouth,2,1
Grays,1,1
Greenock,2,1
Harlington,2,1
Hull,2,1
Inverness,2,1
Leamington Spa,2,1
Leeds,2,1
Leicester,2,1
Liverpool,2,1
London,2,1
Londonderry,2,1
Manchester,1,1
Middlesbrough,2,1
Narberth,2,1
Newcastle Upon Tyne,2,1
Newport,2,1
Northampton,1,1
Norwich,2,1
Nottingham,2,1
Oxford,2,1
Penicuik,2,1
Plymouth,2,1
Port Talbot,2,1
Portsmouth,2,1
Preston,1,1
Reading,2,1
Rochester,2,1
Royal Leamington Spa,2,1
Salford,2,1
Saltash,2,1
Sandy,2,1
Scunthorpe,1,1
Sheffield,2,1
Southampton,2,1
Southend - On - Sea,1,1
Southend-On-Sea,1,1
Speke,2,1
Stanford-Le-Hope,2,1
Stanmore,1,1
Stockbridge,2,1
Stockton-On-Tees,2,1
Stoke - On - Trent,2,1
Stoke-On-Trent,2,1
Storrington,2,1
Sunderland,1,1
Swansea,2,1
Thurrock,1,1
Warrington,2,1
Wigan,1,1
Worthing,1,1
Wrexham,2,1
York,2,1
