Value,Disaggregation combinations using this value,Number of indicators
Africa unspecified,2,1
Caribbean,4,2
Central America,2,1
Country not stated,2,1
Eastern Africa,3,2
Middle Africa,2,1
No travel,2,1
Northern Africa,2,1
Not stated,2,1
Oceania,2,1
Other Africa,1,1
Other,2,1
South America,3,2
South-Eastern Asia,5,2
Southern Africa,3,2
Southern and Central America,1,1
Southern Asia,5,2
Southern Europe,1,1
Sub-Saharan and Southern Africa,1,1
Western Africa,3,2
Western Asia,2,1
