Indicator
#11-3-1
#11-6-1
#11-7-2
#16-1-1
#16-1-3
#16-1-4
#16-6-2
#16-7-1
#16-7-2
#17-8-1
#3-1-2
#3-2-2
#3-3-2
#3-3-3
#3-3-4
#3-4-1
#3-4-2
#3-6-1
#3-7-1
#3-9-1
#3-9-3
#3-a-1
#3-b-1
#4-1-1
#4-2-1
#4-2-2
#4-3-1
#4-c-1
#5-2-1
#5-2-2
#5-5-2
#8-10-1
#8-3-1
#8-5-1
#8-5-2
#8-8-1
#9-2-2
#9-5-1
#9-5-2
