number,change_type
1.a.3,replaced
1.b.1,replaced
2.4.1,revised
2.5.2,revised
4.2.1,revised
5.a.2,revised
6.3.1,revised
7.b.1,replaced
8.3.1,revised
11.6.1,revised
11.a.1,replaced
12.a.1,replaced
12.b.1,replaced
13.2.1,replaced
13.a.1,replaced
13.b.1,replaced
15.9.1,revised
15.b.1,replaced
17.3.1,replaced
17.5.1,revised
17.6.2,moved
17.17.1,replaced
17.18.1,replaced
