Indicator
#10-1-1
#10-4-1
#10-4-2
#11-4-1
#11-7-2
#12-2-1
#12-2-2
#16-1-3
#16-1-4
#16-2-3
#16-3-1
#17-1-1
#17-1-2
#17-8-1
#2-3-2
#2-a-1
#2-c-1
#3-1-2
#3-2-1
#3-2-2
#3-4-2
#3-7-2
#3-8-2
#3-9-2
#3-9-3
#3-a-1
#3-c-1
#4-4-1
#5-2-1
#5-2-2
#5-3-1
#5-5-2
#5-a-1
#8-1-1
#8-2-1
#8-4-1
#8-4-2
#8-5-1
#8-5-2
#8-6-1
#8-9-1
#9-2-1
#9-2-2
#9-4-1
#9-5-1
#9-b-1
