Indicator
#1-4-2
#11-3-1
#11-7-1
#12-6-1
#16-2-3
#17-14-1
#17-18-1
#2-1-2
#2-c-1
#3-d-1
#4-3-1
#4-7-1
#5-1-1
#6-5-1
#9-1-1
