Value,Disaggregation combinations using this value,Number of indicators
British nationals,1,1
EU-nationality,1,1
EU nationality,1,1
European Economic Area,1,1
Foreign nationals,1,1
Nationality not recorded,1,1
Non-EU nationality,1,1
Non-UK nationality,1,1
Other,1,1
Total non-EU nationality,1,1
UK nationality,2,2
United Kingdom,1,1
