Value,Disaggregation combinations using this value,Number of indicators
A) Percentage of fish stocks harvested above FMSY,1,1
A) Percentage of fish stocks harvested below FMSY,1,1
B) Percentage of fish stocks above MSY Btrigger,1,1
B) Percentage of fish stocks below MSY Btrigger,1,1
Percentage of fish stocks unknown,2,1
