Value,Disaggregation combinations using this value,Number of indicators
1000 to 1499,1,1
1500 to 1999,1,1
2000 to 2499,1,1
2500 to 2999,1,1
3000 to 3499,1,1
3500 to 3999,1,1
4000 and over,1,1
Not stated,1,1
Under 1000,1,1
Under 1500,1,1
Under 2500,1,1
