Value,Disaggregation combinations using this value,Number of indicators
0-4 hours,3,1
20-34 hours,3,1
35-49 hours,3,1
5-19 hours,3,1
50 or more hours,3,1
Unknown,5,1
"Varies, 35 or more hours",3,1
"Varies, less than 35 hours",3,1
