Value,Disaggregation combinations using this value,Number of indicators
Accommodation,1,1
Activities auxiliary to financial services and insurance activities,1,1
Activities of membership organisations,1,1
Air transport,1,1
Civil engineering,1,1
Construction of buildings,1,1
"Creative, arts and entertainment activities and libraries, archives, museums and other cultural activities and gambling and betting activities",5,1
"Crop and animal production, hunting and related service activities",1,1
"Electricity, gas, steam and air conditioning supply",2,1
Extraction of crude petroleum and natural gas,1,1
"Financial service activities, except insurance and pension funding",3,1
Fishing and aquaculture,1,1
Food and beverage service activities,1,1
Forestry and logging,1,1
Furniture and other manufacturing,7,1
Human health activities,1,1
IT and other information service,3,1
Land transport and transport via pipelines,3,1
Legal accounting management architecture engineering tech testing,1,1
Legal and accounting activities and activites of head offices; management consultancy activities,6,1
Manufacture of basic metals and metal products,22,2
Manufacture of basic pharmaceutical products and pharmaceutical preparations,5,2
Manufacture of chemicals and chemical products,24,2
"Manufacture of coke, and refined petroleum products",5,2
Manufacture of electrical equipment,5,2
"Manufacture of food products, beverages and tobacco",42,2
Manufacture of machinery and equipment not elsewhere classified,3,2
Manufacture of machinery and equipment,4,1
"Manufacture of rubber and plastics products, and other non-metallic mineral products",10,2
"Manufacture of rubber and plastics products, & other non-metallic mineral products",10,1
"Manufacture of textiles, wearing apparel and leather products",12,2
Manufacture of transport equipment,18,2
"Manufacture of wood and paper products, and printing",13,2
"Manufacturing of computer, electronic and optical products",3,2
"Manufacturing of computer, electronic & optical products",4,1
Mining of coal and lignite,1,1
Mining of metal ores,1,1
Mining support service activities,1,1
"Motion picture, video and tv programme production, sound recording and music publishing activities and programming and broadcasting activities",3,1
Other manufacturing and repair,15,2
Other mining and quarrying,1,1
Other personal service activities,1,1
"Other professional, scientific and technical activities and veterinary activities",3,1
"Other Professional, scientific and technical activities",2,1
Pension funding,1,1
Postal and courier activities,1,1
Publishing audio visual broadcsting,2,1
Real estate activities,3,1
Repair of computers and personal and household goods,1,1
Residential care and social work activities,3,1
"Retail trade, except of motor vehicles and motorcycles",1,1
Scientific research and development,1,1
"Security and investigation activities, services to buildings and landscape activities and office administrative, office support and other business support activities",4,1
"Sewerage, waste collection, treatment and disposal activities; materials recovery and remediation activities and other waste management services",3,1
Specialised construction activities,1,1
Telecommunications,1,1
Warehousing and support activities for transportation,1,1
"Water collection, treatment and supply",1,1
Water transport,1,1
Wholesale and retail trade and repair of motor vehicles and motorcycles,1,1
"Wholesale trade, except of motor vehicles and motorcycles",1,1
