Indicator
#11-3-1
#11-6-1
#12-a-1
#16-6-2
#16-7-2
#17-8-1
#3-1-2
#3-2-2
#3-3-2
#3-3-3
#3-3-4
#3-6-1
#3-7-2
#3-9-1
#3-9-2
#3-9-3
#3-a-1
#3-b-1
#4-3-1
#5-b-1
#7-b-1
#8-10-1
#8-3-1
#9-1-1
#9-2-2
#9-5-2
