Year,Corruption offence type,Observation status,Unit multiplier,Unit measure,Value
Jul 2017 to Jun 2018,,Normal Value,Units,Number of offences,138.0
Jul 2018 to Jun 2019,,Normal Value,Units,Number of offences,136.0
Jul 2019 to Jun 2020,,Normal Value,Units,Number of offences,94.0
Jul 2020 to Jun 2021,,Normal Value,Units,Number of offences,133.0
Jul 2017 to Jun 2018,"Requesting, agreeing to receive and accepting bribes",Normal Value,Units,Number of offences,6.0
Jul 2018 to Jun 2019,"Requesting, agreeing to receive and accepting bribes",Normal Value,Units,Number of offences,2.0
Jul 2019 to Jun 2020,"Requesting, agreeing to receive and accepting bribes",Normal Value,Units,Number of offences,1.0
Jul 2020 to Jun 2021,"Requesting, agreeing to receive and accepting bribes",Normal Value,Units,Number of offences,1.0
Jul 2017 to Jun 2018,"Offering, promising or giving bribes",Normal Value,Units,Number of offences,13.0
Jul 2018 to Jun 2019,"Offering, promising or giving bribes",Normal Value,Units,Number of offences,11.0
Jul 2019 to Jun 2020,"Offering, promising or giving bribes",Normal Value,Units,Number of offences,2.0
Jul 2020 to Jun 2021,"Offering, promising or giving bribes",Normal Value,Units,Number of offences,12.0
Jul 2017 to Jun 2018,Misconduct in a public office,Normal Value,Units,Number of offences,118.0
Jul 2018 to Jun 2019,Misconduct in a public office,Normal Value,Units,Number of offences,123.0
Jul 2019 to Jun 2020,Misconduct in a public office,Normal Value,Units,Number of offences,91.0
Jul 2020 to Jun 2021,Misconduct in a public office,Normal Value,Units,Number of offences,120.0
Jul 2017 to Jun 2018,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Normal Value,Units,Number of offences,1.0
Jul 2018 to Jun 2019,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Normal Value,Units,Number of offences,0.0
Jul 2019 to Jun 2020,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Normal Value,Units,Number of offences,0.0
Jul 2020 to Jun 2021,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Normal Value,Units,Number of offences,0.0
