Value,Disaggregation combinations using this value,Number of indicators
Buying with a mortgage,9,1
Council,1,1
Owned outright,12,2
Owner occupied buying with a mortgage,1,1
Registered social landlord,1,1
Rent free,2,1
Rent paid furnished,1,1
Rent paid unfurnished,1,1
