Indicator
#14-4-1
#14-6-1
#14-b-1
#15-1-1
#15-2-1
#15-4-2
#2-1-1
#2-1-2
#2-3-1
#2-3-2
#2-4-1
#2-5-1
#2-5-2
#2-a-1
#2-c-1
#5-a-2
#6-4-1
