Value,Disaggregation combinations using this value,Number of indicators
Accommodation,18,1
Air passenger transport,3,1
Cultural activities,9,1
Food and beverage serving activities,9,1
Railway passenger transport,3,1
Renting and leasing of motor vehicles,3,1
Road passenger transport,4,1
Sport and recreational activities,9,1
Travel agencies and other reservation service activities,5,1
Water passenger transport,3,1
