Indicator
#10-3-1
#11-7-2
#16-1-3
#16-1-4
#16-7-2
#16-b-1
#17-8-1
#2-2-2
#3-1-1
#3-3-1
#3-a-1
#4-1-1
#4-2-1
#5-2-1
#5-2-2
#9-2-2
