Indicator,Disaggregation combinations using this value
#11-1-1,2
#11-3-1,123
#11-6-1,50
#11-7-2,3
#12-a-1,12
#16-1-3,10
#16-1-4,2
#16-6-2,4
#16-7-2,1
#17-8-1,13
#2-1-2,3
#3-1-2,1
#3-2-2,1
#3-3-2,1
#3-3-3,2
#3-3-4,14
#3-4-1,988
#3-4-2,3
#3-6-1,1
#3-7-1,121
#3-9-1,2
#3-9-2,15
#3-9-3,389
#3-a-1,21
#3-b-1,14
#4-1-1,3228
#4-2-1,105
#4-2-2,61
#4-3-1,2
#4-c-1,15
#5-2-1,3
#5-5-2,1
#5-6-1,121
#5-a-1,10
#5-b-1,4
#7-b-1,12
#8-10-1,36
#8-3-1,3
#8-5-1,9
#8-5-2,3
#8-8-1,3
#9-2-2,1
#9-5-1,5
#9-5-2,1
