Value,Disaggregation combinations using this value,Number of indicators
"£1,000 or more",4,1
Less than £200,3,1
More than £200 but less than £400,3,1
More than £400 but less than £600,3,1
More than £600 but less than £800,3,1
"More than £800 but less than £1,000",3,1
