Value,Disaggregation combinations using this value,Number of indicators
£100 - £149,3,1
£150 - £199,3,1
£200 - £249,3,1
£250 - £299,3,1
£300 - £399,3,1
£300 or more,3,1
£400 - £499,6,1
£50 - £99,3,1
£500 or more,6,1
Less than £50,3,1
