Indicator
#1-2-1
#1-2-2
#10-2-1
#10-3-1
#11-7-2
#16-1-1
#16-1-3
#16-1-4
#16-3-2
#16-6-2
#16-7-1
#16-7-2
#16-b-1
#17-8-1
#2-1-1
#2-1-2
#3-1-1
#3-1-2
#3-2-2
#3-3-1
#3-3-3
#3-3-4
#3-4-1
#3-4-2
#3-6-1
#3-7-1
#3-7-2
#3-8-2
#3-9-3
#3-a-1
#3-b-1
#4-2-2
#4-3-1
#4-4-1
#5-2-1
#5-2-2
#5-3-1
#5-5-2
#5-6-1
#5-b-1
#8-10-2
#8-5-1
#8-5-2
#8-6-1
#8-8-1
#9-2-2
#9-5-2
