Value,Disaggregation combinations using this value,Number of indicators
All,2,1
Bread and cereal,2,1
Dairy and eggs,2,1
Fish,2,1
Food not elsewhere classified,2,1
Fruit,2,1
Meat,2,1
Oils and fats,2,1
Sugars,2,1
Vegetables,2,1
