Value,Disaggregation combinations using this value,Number of indicators
Activities of amusement parks and theme parks,1,1
Artistic creation,1,1
Buying and selling of own real estate,1,1
Camping grounds; recreational vehicle parks and trailer parks,1,1
Holiday and other short-stay accommodation,4,1
Hotels and similar accommodation,1,1
Licensed clubs,1,1
Licensed restaurants,1,1
Operation of arts facilities,1,1
Other accommodation,1,1
Other amusement and recreation activities not elsewhere classified,1,1
Performing arts,1,1
Public houses and bars,1,1
Real estate activities on a fee or contract basis,3,1
Renting and operating of own or leased real estate,4,1
Support activities to performing arts,1,1
Take-away food shops and mobile food stands,1,1
Tour operator activities,1,1
Travel agency activities,1,1
Unlicensed restaurants and cafes,1,1
