Indicator
#1-1-1
#1-2-1
#1-4-1
#1-5-1
#1-a-1
#10-4-1
#10-5-1
#10-6-1
#10-7-3
#10-7-4
#10-a-1
#10-b-1
#10-c-1
#11-1-1
#11-5-1
#11-6-2
#11-a-1
#12-2-2
#12-4-1
#12-a-1
#12-b-1
#12-c-1
#13-1-1
#13-2-2
#14-4-1
#14-5-1
#14-6-1
#14-7-1
#14-b-1
#15-1-1
#15-1-2
#15-2-1
#15-3-1
#15-4-1
#15-4-2
#15-5-1
#15-6-1
#15-8-1
#15-a-1
#15-b-1
#16-10-2
#16-3-2
#16-5-2
#16-8-1
#16-9-1
#16-a-1
#17-1-1
#17-1-2
#17-10-1
#17-11-1
#17-12-1
#17-18-2
#17-18-3
#17-19-1
#17-19-2
#17-2-1
#17-3-2
#17-4-1
#17-6-1
#17-8-1
#17-9-1
#2-1-1
#2-1-2
#2-2-1
#2-2-2
#2-2-3
#2-5-1
#2-a-1
#2-a-2
#2-b-1
#2-c-1
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-3-5
#3-4-1
#3-4-2
#3-5-2
#3-6-1
#3-7-1
#3-7-2
#3-8-1
#3-8-2
#3-9-1
#3-9-2
#3-9-3
#3-a-1
#3-b-1
#3-b-2
#3-c-1
#3-d-1
#4-1-1
#4-1-2
#4-2-2
#4-a-1
#4-b-1
#5-3-1
#5-3-2
#5-5-1
#5-5-2
#6-4-1
#6-4-2
#6-5-1
#6-5-2
#6-6-1
#6-a-1
#6-b-1
#7-1-1
#7-1-2
#7-2-1
#7-3-1
#7-a-1
#7-b-1
#8-1-1
#8-10-1
#8-10-2
#8-2-1
#8-4-2
#8-5-2
#8-6-1
#8-a-1
#9-1-2
#9-2-1
#9-2-2
#9-3-2
#9-4-1
#9-5-1
#9-5-2
#9-a-1
#9-b-1
#9-c-1
